source_string,target_string,license,latin,arabic
5 Minutes,5 ⵏ ⵜⵓⵙⴷⵉⴷⵉⵏ,MPL-2.0,5 n tusdidin,5 ن توسديدين
Connecting...,ⴳ ⵉⴼⵉⵍⵉ...,MPL-2.0,g ifili...,ڭ يفيلي...
Contacts,ⵉⵎⴰⵡⴰⴹⵏ,MPL-2.0,imawaḍn,يماواضن
Chats,ⵉⵎⵙⴰⵡⴰⵍⵏ,MPL-2.0,imsawaln,يمساوالن
Settings,ⵜⵉⵙⵖⴰⵍ,MPL-2.0,tisghal,تيسغال
Profile,ⴰⵎⵉⴹⴰⵏ,MPL-2.0,amiḍan,اميضان
No contacts,ⵓⵔ ⵍⵍⵉⵏ ⵉⵎⴰⵡⴰⴹⵏ,MPL-2.0,ur llin imawaḍn,ور للين يماواضن
"Add a contact
or","ⵔⵏⵓ ⴽⵔⴰ ⵏ ⵓⵎⴰⵡⴰⴹ
ⵏⵉⵖ",MPL-2.0,"rnu kra n umawaḍ
nigh","رنو كرا ن وماواض
نيغ"
share your Tox ID,ⴷⵔⵓ ⴰⵎⵉⴹⴰⵏ ⵏⵏⴽ ⵏ ⵜⵓⴽⵙ,MPL-2.0,dru amiḍan nnk n tuks,درو اميضان ننك ن توكس
Contact Requests,ⵜⴰⵍⴳⴰⵎⵜ ⵏ ⵜⵎⵔⵏⵉⵡⵜ,MPL-2.0,talgamt n tmrniwt,تالڭامت ن تمرنيوت
Last seen: %@,ⵜⵉⴳⵉⵔⴰ ⵏⵏⵙ: %@,MPL-2.0,tigira nns: %@,تيڭيرا ننس: %@
Contact Request,ⴰⵙⵉⴳⵔ,MPL-2.0,asigr,اسيڭر
Decline,ⵜⴰⴳⵯⵉⵜ,MPL-2.0,tagⵯit,تاڭⵯيت
Accept,ⵜⴰⵢⵢⵉⵀⵜ,MPL-2.0,tayyiht,تايييهت
Delete contact request?,ⴽⴽⵙ ⴰⵙⵉⴳⵔ?,MPL-2.0,kks asigr?,ككس اسيڭر?
Deleted contact,ⵉⵜⵜⵡⴰⴽⴽⵙ ⵓⵎⴰⵡⴰⴹ ⴰⴷ,MPL-2.0,ittwakks umawaḍ ad,يتتواككس وماواض اد
Show QR Code,ⴼⵙⵔ ⵉⵏⵉⴳⵍ ⵏ QR,MPL-2.0,fsr inigl n QR,فسر ينيڭل ن QR
Copy,ⵙⵙⵏⵖⵍ,MPL-2.0,ssnghl,سسنغل
Add Contact,ⵔⵏⵓ ⴽⵔⴰ ⵏ ⵓⵎⴰⵡⴰⴹ,MPL-2.0,rnu kra n umawaḍ,رنو كرا ن وماواض
Send,ⴰⵣⵏ,MPL-2.0,azn,ازن
Enter Tox ID,ⵙⵙⵉⴷⴼ Tox ID,MPL-2.0,ssidf Tox ID,سسيدف Tox ID
Use QR code,ⵙⵎⵔⵙ ⵉⵏⵉⴳⵍ ⵏ QR,MPL-2.0,smrs inigl n QR,سمرس ينيڭل ن QR
Message,ⵜⴰⴱⵔⴰⵜ,MPL-2.0,tabrat,تابرات
Hello! Could you please add me to your contact list?,ⴰⵣⵓⵍ! ⵉⵙ ⵜⵣⵎⵔⴷ ⴰⴷ ⵢⵉ ⵜⵔⵏⵓⴷ ⴳ ⵜⵍⴳⴰⵎⵜ ⵏ ⵡⴰⵡⴰⴹ ⵏⵏⴽ?,MPL-2.0,azul! is tzmrd ad yi trnud g tlgamt n wawaḍ nnk?,ازول! يس تزمرد اد يي ترنود ڭ تلڭامت ن واواض ننك?
Wrong QR code. It should contain Tox ID,ⵉⵏⵉⴳ ⵏ QR ⴷ ⴰⵔⵎⵉⴷⵉ. ⵉⵅⵚⵚⴰ ⴰⴷ ⴷⵉⴳⵙ ⵢⵉⵍⵉ Tox ID,MPL-2.0,inig n QR d armidi. ikhṣṣa ad digs yili Tox ID,ينيڭ ن QR د ارميدي. يخصصا اد ديڭس ييلي Tox ID
Name,ⵉⵙⵎ,MPL-2.0,ism,يسم
Nickname,ⵉⵙⵎ ⵏ ⵜⵡⴰⵛⵓⵏⵜ,MPL-2.0,ism n twashunt,يسم ن تواشونت
Status Message,ⵜⴰⴱⵔⴰⵜ ⵏ ⵡⴰⴷⴷⴰⴷ,MPL-2.0,tabrat n waddad,تابرات ن وادداد
Status,ⴰⴷⴷⴰⴷ,MPL-2.0,addad,ادداد
My Tox ID,Tox ID ⵉⵏⵓ,MPL-2.0,Tox ID inu,Tox ID ينو
Public Key,ⵜⴰⵙⴰⵔⵓⵜ ⵜⴰⴳⴷⵓⴷⴰⵏⵜ,MPL-2.0,tasarut tagdudant,تاساروت تاڭدودانت
Show QR,ⵎⵍ ⵉⵏⵉⴳⵍ ⵏ QR,MPL-2.0,ml inigl n QR,مل ينيڭل ن QR
Profile Details,ⵉⴼⵔⵓⵔⵉⵜⵏ ⵏ ⵓⵎⵉⴹⴰⵏ,MPL-2.0,ifruritn n umiḍan,يفروريتن ن وميضان
Log Out,ⴼⴼⵖ,MPL-2.0,ffgh,ففغ
Close,ⵇⵇⵏ,MPL-2.0,qqn,ققن
No chats,ⵓⵔ ⵉⵍⵍⵉ ⴽⵔⴰ ⵏ ⵓⵎⵙⴰⵡⴰⵍ,MPL-2.0,ur illi kra n umsawal,ور يللي كرا ن ومساوال
Outgoing file:,ⴰⴼⴰⵢⵍⵓ ⵉⴼⴼⵖⵏ:,MPL-2.0,afaylu iffghn:,افايلو يففغن:
Incoming file:,ⴰⴼⴰⵢⵍⵓ ⵓⴽⵛⵉⵎ:,MPL-2.0,afaylu ukshim:,افايلو وكشيم:
Call finished,ⵜⵙⵎⴷ ⵜⵖⵓⵔⵉ,MPL-2.0,tsmd tghuri,تسمد تغوري
Unanswered call,ⵓⵔ ⵉⵍⵍⵉ ⵓⵙⴰⴷⵎⵔ ⵅⴼ ⵜⵖⵓⵔⵉ ⴰⴷ,MPL-2.0,ur illi usadmr khf tghuri ad,ور يللي وسادمر خف تغوري اد
↓ New messages,ⵜⵉⴱⵔⴰⵜⵉⵏ ⵜⵉⵎⴰⵢⵏⵓⵜⵉⵏ,MPL-2.0,tibratin timaynutin,تيبراتين تيماينوتين
"Call,",ⵖⵔ،,MPL-2.0,ghr،,غر،
Missed call,ⵓⵔ ⵉⵍⵍⵉ ⵓⵙⴰⴷⵎⵔ ⵅⴼ ⵜⵖⵓⵔⵉ ⴰⴷ,MPL-2.0,ur illi usadmr khf tghuri ad,ور يللي وسادمر خف تغوري اد
More,ⵓⴳⴰⵔ,MPL-2.0,ugar,وڭار
is typing...,ⵉⵜⵜⴰⵔⵉ...,MPL-2.0,ittari...,يتتاري...
Undelivered messages will be send when both you and friend are online.,ⵔⴰⴷ ⵜⵜⵡⴰⵣⵏⵏⵜ ⵜⴱⵔⴰⵜⵉⵏ ⵏⵏⴰ ⵓⵔ ⵉⵜⵜⵡⴰⵎⵥⵏ ⴰⴷⴷⴰⵢ ⵜⵉⵍⵉⴷ ⴰⴽⴷ ⵓⵎⴷⴷⴰⴽⴽⵯⵍ ⵏⵏⴽ ⴳ ⵉⴼⵉⵍⵉ.,MPL-2.0,rad ttwaznnt tbratin nna ur ittwamẓn adday tilid akd umddakkⵯl nnk g ifili.,راد تتوازننت تبراتين ننا ور يتتوامزّن ادداي تيليد اكد ومدداككⵯل ننك ڭ يفيلي.
Offline,ⵓⵔ ⵉⵍⵍⵉ ⴳ ⵉⴼⵉⵍⵉ,MPL-2.0,ur illi g ifili,ور يللي ڭ يفيلي
Online,ⴳ ⵉⴼⵉⵍⵉ,MPL-2.0,g ifili,ڭ يفيلي
Away,ⴳ ⴱⵕⵕⴰ,MPL-2.0,g bṛṛa,ڭ بررا
Busy,ⴳ ⵜⵡⵓⵔⵉ,MPL-2.0,g twuri,ڭ تووري
New message,ⵜⴰⴱⵔⴰⵜ ⵜⴰⵎⴰⵢⵏⵓⵜ,MPL-2.0,tabrat tamaynut,تابرات تاماينوت
Incoming contact request,ⴰⵙⵓⵜⵔ ⵏ ⵜⵖⵓⵔⵉ,MPL-2.0,asutr n tghuri,اسوتر ن تغوري
is calling,ⵉⵇⵇⴰⵔ,MPL-2.0,iqqar,يققار
Incoming file,ⵢⵓⴷⴼ ⴷ ⵓⴼⴰⵢⵍⵓ,MPL-2.0,yudf d ufaylu,يودف د وفايلو
About,ⵅⴼ,MPL-2.0,khf,خف
FAQ,ⵜⵉⵖⵍⴰⴼ,MPL-2.0,tighlaf,تيغلاف
Advanced Settings,ⵜⵉⵙⵖⴰⵍ ⵉⵣⵡⴰⵔⵏ,MPL-2.0,tisghal izwarn,تيسغال يزوارن
Antidote Version,ⵜⵓⵏⵖⵉⵍⵜ ⵏ Antidote,MPL-2.0,tunghilt n Antidote,تونغيلت ن Antidote
Antidote Build,ⵜⵓⵚⴰ ⵏ Antidote,MPL-2.0,tuṣa n Antidote,توصا ن Antidote
Toxcore Version,ⵜⵓⵏⵖⵉⵍⵜ ⵏ Toxcore,MPL-2.0,tunghilt n Toxcore,تونغيلت ن Toxcore
Acknowledgements,ⴰⵙⵏⵉⵎⵎⵔ,MPL-2.0,asnimmr,اسنيممر
Autodownload files,ⵉⴼⴰⵢⵍⵓⵜⵏ ⵏ ⵡⴰⴳⴰⵎ ⴰⵡⵓⵔⵎⴰⵏ,MPL-2.0,ifaylutn n wagam awurman,يفايلوتن ن واڭام اوورمان
Automatically download incoming files.,ⴰⴳⴰⵎ ⴰⵡⵓⵔⵎⴰⵏ ⵏ ⵉⴼⴰⵢⵍⵓⵜⵏ ⵓⴽⵛⵉⵎⵏ.,MPL-2.0,agam awurman n ifaylutn ukshimn.,اڭام اوورمان ن يفايلوتن وكشيمن.
Notification Preview,ⴰⴼⵙⴰⵔ ⵏ ⵉⵏⵖⵎⵉⵙⵏ,MPL-2.0,afsar n inghmisn,افسار ن ينغميسن
"When application goes to background, you will still receive notifications up to 10 minutes.","ⴰⴷⴷⴰⵢ ⵜⴽⵛⵎ ⵜⵙⵏⵙⵉ ⴳ ⵓⵡⵔⵏ, ⵔⴰⴷ ⵢⵉⵍⵉ ⵓⴼⵙⴰⵔ ⵏ ⵉⵏⵖⵎⵉⵙⵏ ⴰⵔ 10 ⵏ ⵜⵓⵙⴷⵉⴷⵉⵏ.",MPL-2.0,"adday tkshm tsnsi g uwrn, rad yili ufsar n inghmisn ar 10 n tusdidin.","ادداي تكشم تسنسي ڭ وورن, راد ييلي وفسار ن ينغميسن ار 10 ن توسديدين."
Enable UDP,ⴰⵙⵎⵀⵍ ⵏ UDP,MPL-2.0,asmhl n UDP,اسمهل ن UDP
Restore Default Settings,ⵉⵔⵉⵔ ⵏ ⵜⵙⵖⴰⵍ ⵜⵉⵎⵔⴷⴰ,MPL-2.0,irir n tsghal timrda,يرير ن تسغال تيمردا
Never,ⵓⵀⵓ,MPL-2.0,uhu,وهو
Wi-Fi,ⴰⵙⵎⵔⵙ ⵏ ⵡⵉⴼⵉ,MPL-2.0,asmrs n wifi,اسمرس ن ويفي
Using Wi-Fi,ⵡⵉⴼⵉ,MPL-2.0,wifi,ويفي
Always,ⴰⴱⴷⴰ,MPL-2.0,abda,ابدا
Change Password,ⵙⵏⴼⵍ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ,MPL-2.0,snfl inigl n wadaf,سنفل ينيڭل ن واداف
Delete Password,ⴽⴽⵙ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ,MPL-2.0,kks inigl n wadaf,ككس ينيڭل ن واداف
Old Password,ⵉⵏⵉⴳⵍ ⴰⵇⴱⵓⵔ ⵏ ⵡⴰⴷⴰⴼ,MPL-2.0,inigl aqbur n wadaf,ينيڭل اقبور ن واداف
New Password,ⵉⵏⵉⴳⵍ ⴰⵎⴰⵢⵏⵓ ⵏ ⵡⴰⴷⴰⴼ,MPL-2.0,inigl amaynu n wadaf,ينيڭل اماينو ن واداف
Repeat Password,ⴰⵍⵙ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ,MPL-2.0,als inigl n wadaf,الس ينيڭل ن واداف
Done,ⵙⵎⴷ,MPL-2.0,smd,سمد
Password should be non-empty,ⵉⵅⵚⵚⴰ ⵓⵔ ⵉⵜⵜⵉⵍⵉ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ ⵉⵅⵡⴰ,MPL-2.0,ikhṣṣa ur ittili inigl n wadaf ikhwa,يخصصا ور يتتيلي ينيڭل ن واداف يخوا
Wrong password,ⴰⵔⵎⵉⴷⵉ ⴳ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ,MPL-2.0,armidi g inigl n wadaf,ارميدي ڭ ينيڭل ن واداف
Passwords do not match,ⵓⵔ ⵉⵎⵙⴰⵙⴰ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ,MPL-2.0,ur imsasa inigl n wadaf,ور يمساسا ينيڭل ن واداف
Camera,ⴰⵙⵓⵍⴼ,MPL-2.0,asulf,اسولف
Photo Library,ⵜⴰⵙⵓⵍⴰⴼⵜ,MPL-2.0,tasulaft,تاسولافت
Cannot convert image,ⵓⵔ ⵜⵣⵎⵉⵔ ⵜⵡⵍⴰⴼⵜ ⴰⴷ ⵜⴻⵜⵜⵓⵙⵏⴼⵍ,MPL-2.0,ur tzmir twlaft ad tettusnfl,ور تزمير تولافت اد ت°تتوسنفل
Send to contact,ⴰⵣⵏ ⵉ ⴽⵔⴰ ⵏ ⵓⵎⴰⵡⴰⴹ,MPL-2.0,azn i kra n umawaḍ,ازن ي كرا ن وماواض
Export Profile,ⵃⴹⵓ ⴰⵎⵉⴹⴰⵏ ⴰⵏⵉⵎⴰⵏ,MPL-2.0,ḥḍu amiḍan animan,حضو اميضان انيمان
Delete Profile,ⴽⴽⵙ ⴰⵎⵉⴹⴰⵏ ⴰⵏⵉⵎⴰⵏ,MPL-2.0,kks amiḍan animan,ككس اميضان انيمان
Delete this profile?,ⵉⵙ ⵜⵔⵉⴷ ⴰⴷ ⵜⴽⴽⵙⴷ ⴰⵎⵉⴹⴰⵏ ⴰⵏⵉⵎⴰⵏ?,MPL-2.0,is trid ad tkksd amiḍan animan?,يس تريد اد تككسد اميضان انيمان?
Are you sure?,ⵉⵙ ⵜⵃⵇⵇⵉⴷ?,MPL-2.0,is tḥqqid?,يس تحققيد?
This operation cannot be undone,ⵜⴰⵎⵀⵍⵜ ⴰⴷ ⵓⵔ ⴷⵉⴳⵙ ⴰⴱⵕⵕⴰⵎ,MPL-2.0,tamhlt ad ur digs abṛṛam,تامهلت اد ور ديڭس ابررام
Incoming call,ⵜⴰⵖⵓⵔⵉ ⵜⵓⴽⵛⵉⵎⵜ,MPL-2.0,taghuri tukshimt,تاغوري توكشيمت
Call ended,ⵜⵙⵎⴷ ⵜⵖⵓⵔⵉ,MPL-2.0,tsmd tghuri,تسمد تغوري
Reaching...,ⵉⵇⵇⴰⵔ...,MPL-2.0,iqqar...,يققار...
Cancelled,ⵉⵜⵜⵓⵙⵙⵔ,MPL-2.0,ittussr,يتتوسسر
Waiting...,ⴰⴳⴰⵏⵉ...,MPL-2.0,agani...,اڭاني...
Paused,ⴱⴷⴷ ⵉⵎⵉⴽ,MPL-2.0,bdd imik,بدد يميك
Delete this chat and message history?,ⴽⴽⵙ ⴰⵎⵙⴰⵡⴰⵍ ⴰⴷ ⴷ ⵜⴱⵔⴰⵜⵉⵏ ⵏⵏⴰ ⴷⵉⴳⵙ ⵉⵜⵜⵓⵃⴹⵓⵏ?,MPL-2.0,kks amsawal ad d tbratin nna digs ittuḥḍun?,ككس امساوال اد د تبراتين ننا ديڭس يتتوحضون?
"Delete this contact?
Your chat history will be lost.","ⴽⴽⵙ ⴰⵎⴰⵡⴰⴹ ⴰⴷ?
ⵔⴰⴷ ⵉⵜⵜⵓⴽⴽⵙ ⵡⴰⵔⵔⴰ ⵏ ⵜⵊⵎⵎⴰⵄⵜ.",MPL-2.0,"kks amawaḍ ad?
rad ittukks warra n tjmma3t.","ككس اماواض اد?
راد يتتوككس واررا ن تجمماعت."
Delete this contact request?,ⵉⵙ ⵜⵔⵉⴷ ⴰⴷ ⵜⴽⴽⵙⴷ ⴰⵙⵉⴳⵔ ⵏ ⵓⵎⵉⴹⴰⵏ ⴰⴷ?,MPL-2.0,is trid ad tkksd asigr n umiḍan ad?,يس تريد اد تككسد اسيڭر ن وميضان اد?
Delete Message,ⴽⴽⵙ ⵜⴰⴱⵔⴰⵜ,MPL-2.0,kks tabrat,ككس تابرات
Delete Messages,ⴽⴽⵙ ⵜⵉⴱⵔⴰⵜⵉⵏ,MPL-2.0,kks tibratin,ككس تيبراتين
Delete All,ⴽⴽⵙ ⴰⴽⴽⵯ,MPL-2.0,kks akkⵯ,ككس اككⵯ
Delete,ⴽⴽⵙ,MPL-2.0,kks,ككس
Cancel,ⵙⵙⵔ,MPL-2.0,ssr,سسر
Please enter both username and profile name.,ⵙⵙⵉⴷⴼ ⵉⵙⵎ ⵏ ⵓⵏⵙⵙⵎⵔⵙ ⴷ ⵢⵉⵙⵎ ⵏ ⵓⵎⵉⴹⴰⵏ ⴰⵏⵉⵎⴰⵏ.,MPL-2.0,ssidf ism n unssmrs d yism n umiḍan animan.,سسيدف يسم ن ونسسمرس د ييسم ن وميضان انيمان.
Profile with given name already exists,ⵉⵍⵍⴰ ⵢⵉⵙⵎ ⴰⴷ ⵏ ⵓⵎⵉⴹⴰⵏ ⴰⵏⵉⵎⴰⵏ,MPL-2.0,illa yism ad n umiḍan animan,يللا ييسم اد ن وميضان انيمان
Error,ⵜⴰⵣⴳⵍⵜ,MPL-2.0,tazglt,تازڭلت
OK,ⵡⴰⵅⵅⴰ,MPL-2.0,wakhkha,واخخا
Retry,ⴰⵍⵙ ⴷⴰⵖ,MPL-2.0,als dagh,الس داغ
Contact isn't online,ⵓⵔ ⵉⵍⵍⵉ ⵓⵎⴰⵡⴰⴹ ⴳ ⵉⴼⵉⵍⵉ,MPL-2.0,ur illi umawaḍ g ifili,ور يللي وماواض ڭ يفيلي
Too many active file transfers,ⴽⵉⴳⴰⵏ ⵏ ⵜⵎⵀⴰⵍ ⵏ ⵓⵙⵎⵓⵜⵜⵉ ⵏ ⵉⴼⴰⵢⵍⵓⵜⵏ ⵉⵜⵜⵓⵙⵎⵀⵍⵏ,MPL-2.0,kigan n tmhal n usmutti n ifaylutn ittusmhln,كيڭان ن تمهال ن وسموتتي ن يفايلوتن يتتوسمهلن
Internal error,ⵜⴰⵣⴳⵍⵜ ⵜⴰⴳⵯⵏⵙⴰⵏⵜ,MPL-2.0,tazglt tagⵯnsant,تازڭلت تاڭⵯنسانت
Wrong password,ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ ⴷ ⴰⵔⵎⵉⴷⵉ,MPL-2.0,inigl n wadaf d armidi,ينيڭل ن واداف د ارميدي
Password contains wrong symbols.,ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ ⴷⵉⴳⵙ ⵜⵉⵎⵉⵜⴰⵔ ⵜⵉⵔⵎⵉⴷⵉⵜⵉⵏ.,MPL-2.0,inigl n wadaf digs timitar tirmiditin.,ينيڭل ن واداف ديڭس تيميتار تيرميديتين.
Cannot import tox save file,ⵓⵔ ⵉⵣⵔⵉ ⴰⴷ ⵉⵜⵜⵓⵙⵏⴼⵍ ⵓⴼⴰⵢⵍⵓ ⵏ tox,MPL-2.0,ur izri ad ittusnfl ufaylu n tox,ور يزري اد يتتوسنفل وفايلو ن tox
File does not exist.,ⵓⵔ ⵉⵍⵍⵉ ⵓⴼⴰⵢⵍⵓ.,MPL-2.0,ur illi ufaylu.,ور يللي وفايلو.
Cannot decrypt tox save file,ⵓⵔ ⵉⵣⵔⵉ ⵓⵔⴰⵏⵜⴰⵍ ⵏ ⵓⴼⴰⵢⵍⵓ ⵏ tox ⵉⵜⵜⵓⵃⴹⵓⵏ,MPL-2.0,ur izri urantal n ufaylu n tox ittuḥḍun,ور يزري ورانتال ن وفايلو ن tox يتتوحضون
Some input data was empty.,ⴽⵔⴰ ⵏ ⵜⵎⵓⵛⴰ ⵏ ⵓⴽⵊⵊⵓⵎ ⵅⵡⴰⵏⵜ.,MPL-2.0,kra n tmusha n ukjjum khwant.,كرا ن تموشا ن وكججوم خوانت.
File has bad format or is corrupted.,ⴰⴼⴰⵢⵍⵓ ⴷⵉⴳⵙ ⴰⵣⴷⴷⵓⵢ ⴷ ⴰⵎⵛⵓⵎ ⵏⵉⵖ ⴰⵎⴰⴽⵓⵍ.,MPL-2.0,afaylu digs azdduy d amshum nigh amakul.,افايلو ديڭس ازددوي د امشوم نيغ اماكول.
Password is wrong or file is corrupted.,ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ ⴷ ⴰⵔⵎⵉⴷⵉ ⵏⵉⵖ ⴰⴼⴰⵢⵍⵓ ⴷ ⴰⵎⴰⴽⵓⵍ.,MPL-2.0,inigl n wadaf d armidi nigh afaylu d amakul.,ينيڭل ن واداف د ارميدي نيغ افايلو د اماكول.
Unknown error occurred.,ⵜⴰⵣⴳⵍⵜ ⵜⴰⵔ ⵉⵙⵎ.,MPL-2.0,tazglt tar ism.,تازڭلت تار يسم.
Not enough memory.,ⵜⵉⵎⴽⵜⵉⵜ ⴷ ⵜⴰⵎⴽⵜⵓⵔⵜ.,MPL-2.0,timktit d tamkturt.,تيمكتيت د تامكتورت.
Was unable to bind to a port.,ⵓⵔ ⵉⵣⵎⵉⵔ ⴰⴷ ⵉⵣⴷⵉ ⴷ ⵓⴼⵜⴰⵙ.,MPL-2.0,ur izmir ad izdi d uftas.,ور يزمير اد يزدي د وفتاس.
Profile is encrypted.,ⵉⵜⵜⵡⴰⴳⴳ ⵓⵙⵏⵜⵍ ⵉ ⵓⵎⵉⴹⴰⵏ ⴰⵏⵉⵎⴰⵏ.,MPL-2.0,ittwagg usntl i umiḍan animan.,يتتواڭڭ وسنتل ي وميضان انيمان.
Proxy error,ⵜⴰⵣⴳⵍⵜ ⴳ Proxy,MPL-2.0,tazglt g Proxy,تازڭلت ڭ Proxy
Proxy address has invalid format.,ⴰⵏⵙⴰ ⵏ Proxy ⵖⵔⵙ ⵜⴰⵍⵖⴰ ⵜⴰⵔⵎⵉⴷⵉⵜ.,MPL-2.0,ansa n Proxy ghrs talgha tarmidit.,انسا ن Proxy غرس تالغا تارميديت.
Proxy port is invalid.,ⴰⴼⵜⴰⵙ ⵏ Proxy ⴷ ⴰⵔⵎⵉⴷⵉ.,MPL-2.0,aftas n Proxy d armidi.,افتاس ن Proxy د ارميدي.
Proxy host could not be resolved.,ⵓⵔ ⵉⵣⵔⵉ ⵓⵕⵥⵥⵓⵎ ⵏ Proxy.,MPL-2.0,ur izri uṛẓẓum n Proxy.,ور يزري ورزّزّوم ن Proxy.
Name is too long.,ⵉⵖⵣⵣⵉⴼ ⵢⵉⵙⵎ ⴽⵉⴳⴰⵏ.,MPL-2.0,ighzzif yism kigan.,يغززيف ييسم كيڭان.
Status message is too long,ⵜⵖⵣⵣⵉⴼ ⴽⵉⴳⴰⵏ ⵜⴱⵔⴰⵜ ⵏ ⵡⴰⴷⴷⴰⴷ,MPL-2.0,tghzzif kigan tbrat n waddad,تغززيف كيڭان تبرات ن وادداد
Message is too long,ⵜⵖⵣⵣⵉⴼ ⵜⴱⵔⴰⵜ ⴽⵉⴳⴰⵏ,MPL-2.0,tghzzif tbrat kigan,تغززيف تبرات كيڭان
No message specified,ⵓⵔ ⵍⵍⵉⵏⵜ ⴽⵔⴰ ⵏ ⵜⴱⵔⴰⵜⵉⵏ,MPL-2.0,ur llint kra n tbratin,ور للينت كرا ن تبراتين
Cannot add myself to contact list,ⵓⵔ ⵜⵣⵔⵉ ⵜⵎⵔⵏⵉⵡⵜ ⵏ ⵢⵉⵅⴼ ⵉⵏⵓ ⴳ ⵜⵍⴳⴰⵎⵜ ⵏ ⵉⵎⴰⵡⴰⴹⵏ,MPL-2.0,ur tzri tmrniwt n yikhf inu g tlgamt n imawaḍn,ور تزري تمرنيوت ن ييخف ينو ڭ تلڭامت ن يماواضن
Contact request was already sent,ⵉⵜⵜⵡⴰⵣⵏ ⵏⵏⵉⵜ ⵓⵙⵉⴳⵔ,MPL-2.0,ittwazn nnit usigr,يتتوازن ننيت وسيڭر
"Bad checksum, please check entered Tox ID","ⵜⴰⵎⵓⵜⵜⵔⵜ ⵏ ⵉⵔⵉⵎⵏ ⴷ ⵜⴰⵎⵓⵛⵎⵜ, ⵙⵙⵉⴷⴷⴻⴷ Tox ID ⵢⵓⴷⴼⵏ",MPL-2.0,"tamuttrt n irimn d tamushmt, ssidded Tox ID yudfn","تاموتترت ن يريمن د تاموشمت, سسيدد°د Tox ID يودفن"
"Bad nospam value, please check entered Tox ID","ⴰⵜⵉⴳ ⵏ nospam ⴷ ⴰⵎⵛⵓⵎ, ⵙⵙⵉⴷⴷⴻⴷ Tox ID",MPL-2.0,"atig n nospam d amshum, ssidded Tox ID","اتيڭ ن nospam د امشوم, سسيدد°د Tox ID"
Already in a call,ⵉⵙⵙⴰⵡⴰⵍ,MPL-2.0,issawal,يسساوال
Contact is offline,ⵉⵇⵇⵏ ⵓⵎⵉⴹⴰⵏ,MPL-2.0,iqqn umiḍan,يققن وميضان
There is no active call,ⵓⵔ ⵜⵍⵍⵉ ⴽⵔⴰ ⵏ ⵜⵖⵓⵔⵉ ⵢⴰⴹⵏⵉⵏ,MPL-2.0,ur tlli kra n tghuri yaḍnin,ور تللي كرا ن تغوري ياضنين
"Cannot open theme, wrong format","ⵓⵔ ⵉⵣⵔⵉ ⵓⴽⵛⴰⵎ ⵙ ⵜⴼⵔⵙⵜ, ⵜⴰⵍⵖⴰ ⴷ ⵜⴰⵔⵎⵉⴷⵉⵜ",MPL-2.0,"ur izri uksham s tfrst, talgha d tarmidit","ور يزري وكشام س تفرست, تالغا د تارميديت"
unread chats,ⵉⵎⵙⴰⵡⴰⵍⵏ ⵓⵔ ⵉⵜⵜⵡⴰⵖⵔⵉⵏ,MPL-2.0,imsawaln ur ittwaghrin,يمساوالن ور يتتواغرين
Avatar,ⵜⴰⵡⵍⴰⴼⵜ,MPL-2.0,tawlaft,تاولافت
Sets or removes avatar.,ⵙⴽⵔ ⵏⵉⵖ ⴽⴽⵙ ⵜⴰⵡⵍⴰⴼⵜ.,MPL-2.0,skr nigh kks tawlaft.,سكر نيغ ككس تاولافت.
Chat,ⴰⵎⵙⴰⵡⴰⵍ,MPL-2.0,amsawal,امساوال
Opens chat dialog.,ⴷⴰ ⵜⵕⵥⵥⵎ ⵜⵏⴽⵍⵓⵜ ⵏ ⵓⵎⵙⴰⵡⴰⵍ.,MPL-2.0,da tṛẓẓm tnklut n umsawal.,دا ترزّزّم تنكلوت ن ومساوال.
Audio call,ⴰⵎⵢⴰⵡⴰⴹ ⴰⴳⵕⴹⴰⵏ,MPL-2.0,amyawaḍ agṛḍan,امياواض اڭرضان
Makes audio call.,ⵙⴽⵔ ⴰⵎⵢⴰⵡⴰⴹ ⴰⴳⵕⴹⴰⵏ.,MPL-2.0,skr amyawaḍ agṛḍan.,سكر امياواض اڭرضان.
Video call,ⴰⵎⵢⴰⵡⴰⴹ ⴰⵎⵡⴰⵍⴰⵏ,MPL-2.0,amyawaḍ amwalan,امياواض اموالان
Makes video call.,ⵙⴽⵔ ⴰⵎⵢⴰⵡⴰⴹ ⴰⵎⵡⴰⵍⴰⵏ.,MPL-2.0,skr amyawaḍ amwalan.,سكر امياواض اموالان.
Shows copy menu.,ⵜⴰⵙⵎⵎⴰⵍⵜⵏ ⵜⵍⴳⴰⵎⵜ ⵏ ⵜⵓⵏⵖⵉⵍⵜ.,MPL-2.0,tasmmaltn tlgamt n tunghilt.,تاسممالتن تلڭامت ن تونغيلت.
