Tamazight,francais,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⴰⵎⵢⴰⴳⴰⵔ ⵏ ⵡⴰⴽⴰⵍ,Disparité territoriale,الفوارق الترابية,amyagar n wakal,امياڭار ن واكال,"""Spatial disparities"" or ""Geographical disparities"""
ⴰⵎⵢⴰⵏⴰⵡ ⵏ ⵉⵎⴰⴷⴷⴰⵔⵏ,Biodiversité,تنوع حيوي,amyanaw n imaddarn,امياناو ن يماددارن,Biodiversity
ⴰⵎⵢⴰⵙⴰ ⴰⵣⵔⴼⴰⵏ,parenté légitime,قرابة شرعية,amyasa azrfan,امياسا ازرفان,Legal kinship
ⴰⵎⵎⴰⴽ ⵏ ⵓⵎⵢⴰⵡⴰⴹ,moyen de communication,وسيلة اتصال,ammak n umyawaḍ,امماك ن ومياواض,Means of communication
ⴰⵎⵢⴰⵡⴰⴹ ⴰⴳⵯⵏⵙⴰⵏ,communication interne,تواصل داخلي,amyawaḍ agⵯnsan,امياواض اڭⵯنسان,Internal communication
ⴰⵎⵢⴰⵡⴰⴹ ⵏ ⴱⵕⵕⴰ,communication externe,تواصل خارجي,amyawaḍ n bṛṛa,امياواض ن بررا,External communication
ⴰⵎⵣⴰⵔⴰⵢ ⴰⵙⵏⵉⵍⵙ,"divergence linguistique, différenciation linguistique",اختلاف لغوي,amzaray asnils,امزاراي اسنيلس,Linguistic difference
ⴰⵎⵣⴰⵖ ⴰⵏⴰⵎⵓⵔ,défense nationale,دفاع وطني,amzagh anamur,امزاغ انامور,National defense
ⴰⵎⵣⴰⵖ ⴰⵏⵉⵎⴰⵏ,autodéfense,دفاع عن النفس,amzagh animan,امزاغ انيمان,Self-defense
ⴰⵎⵣⴰⵖ ⵓⵍⴳⵉⵏ,légitime défense,دفاع شرعي,amzagh ulgin,امزاغ ولڭين,Legitimate defense
ⴰⵎⵣⵉⵣⵡⵔ ⵏ ⵡⴰⴷⴰⴼ,concours d'entrée,مباراة الولوج,amzizwr n wadaf,امزيزور ن واداف,Entrance exam or admission test.
ⴰⵎⵣⵉⵣⵣⵍ ⴰⵎⵙⵜⴰⵢ,campagne électorale,حملة انتخابية,amzizzl amstay,امزيززل امستاي,Election campaign
ⴰⵎⵣⵉⵣⵣⵍ ⴰⵏⵖⵎⴰⵙ,campagne de presse,حملة صحفية,amzizzl anghmas,امزيززل انغماس,Press campaign
ⴰⵎⵣⵉⵣⵣⵍ ⵏ ⵓⵙⵓⵙⵙⵏ,campagne de publicité,حملة إشهارية,amzizzl n usussn,امزيززل ن وسوسسن,Advertising campaign
ⴷⴰⵜ ⵏ ⵓⵎⵣⵔⵓⵢ,préhistoire,ما قبل التاريخ,dat n umzruy,دات ن ومزروي,Prehistory
ⴰⵎⵣⵣⵏⵣ ⵏ ⵉⴷⵍⵉⵙⵏ,libraire,كتبي,amzznz n idlisn,امززنز ن يدليسن,My books
ⴰⵎⵣⵣⵓⵖ ⴰⴱⵕⵕⴰⵏ,oreille externe,أذن خارجية,amzzugh abṛṛan,امززوغ ابرران,Outer ear
ⴰⵎⵣⵣⵓⵖ ⴰⴳⵯⵏⵙⴰⵏ,oreille interne,أذن داخلية,amzzugh agⵯnsan,امززوغ اڭⵯنسان,Inner ear
ⴰⵙⴰⵔⵓ ⵏ ⵓⵎⵣⵣⵓⵖ,conduit auditif externe,مجرى السمع,asaru n umzzugh,اسارو ن ومززوغ,The auditory canal
ⵜⴰⵍⵍⵓⵏⵜ ⵏ ⵓⵎⵣⵣⵓⵖ,tympan,طبلة الأذن,tallunt n umzzugh,تاللونت ن ومززوغ,Eardrum
ⵜⴰⵥⵓⴹⴰ ⵏ ⵓⵎⵣⵣⵓⵖ,pavillon de l'oreille,صوان الأذن,taẓuḍa n umzzugh,تازّوضا ن ومززوغ,The auricle (or the outer ear).
ⴰⵏⴰⴹ ⵓⵙⵙⵉⴷ,impératif intensif,أمْرٌ توكيدي,anaḍ ussid,اناض وسسيد,An emphatic command.
ⴰⵏⴰⴹ ⴰⵣⵔⴼⴰⵏ,Ordre judiciaire,أمر قضائي,anaḍ azrfan,اناض ازرفان,Court order
ⴰⵏⴰⴼⵓⵖ ⵓⴷⴷⵉⵙ,sur-dérivé,متعدد الاشتقاق,anafugh uddis,انافوغ ودديس,Multiderivative
ⵏⵏⵉⴳ ⵏ ⵓⵏⴰⵎⴽ,connotation,إيحاء,nnig n unamk,ننيڭ ن ونامك,Inspiration or Suggestion (depending on the context).
ⴰⵏⴰⵥⵓⵕ ⴰⵎⵙⵉⵍⵖ,artiste plasticien,فنان تشكيلي,anaẓuṛ amsilgh,انازّور امسيلغ,Plastic artist
ⴰⵏⴱⴹⵓ ⵏ ⵓⵙⴰⴳⴳⵯ,juge d'instruction,قاضي التحقيق,anbḍu n usaggⵯ,انبضو ن وساڭڭⵯ,Investigating judge
ⴰⵏⴱⴹⵓ ⵏ ⵜⵏⵓⴼⴰ,distributeur de services,موزع خدمات,anbḍu n tnufa,انبضو ن تنوفا,Service provider
ⴰⵏⴳⴰⴹ ⴳ ⵡⴰⵍⴽⵓⵍ,alcoolisme,إدمان كحولي,angaḍ g walkul,انڭاض ڭ والكول,Alcohol addiction
ⴰⵎⵢⴰⵏⴰⵡ ⵏ ⵓⵏⴳⵉⴳⵜ,variation climatique,تغايرية مناخية,amyanaw n ungigt,امياناو ن ونڭيڭت,Climate variability
ⴰⵏⴰⵡ ⵏ ⵓⵏⴳⵉⴳⵜ,type climatique,نوع مناخي,anaw n ungigt,اناو ن ونڭيڭت,A type of climate
ⴰⵏⴳⵉⴳⵜ ⴰⵏⴰⵎⵎⴰⵙ,climat méditerranéen,مناخ متوسطي,angigt anammas,انڭيڭت انامماس,Mediterranean climate
ⵜⴰⴽⴰⵕⴹⴰ ⵏ ⵓⵏⴳⵉⴳⵜ,carte climatique,خريطة مناخية,takaṛḍa n ungigt,تاكارضا ن ونڭيڭت,Climatic map
ⵜⴰⵏⴼⴰⵍⵜ ⵏ ⵓⵏⴳⵉⴳⵜ,variation du climat,تغير المناخ,tanfalt n ungigt,تانفالت ن ونڭيڭت,Climate change
ⴰⵏⴳⵔⴰⵡ ⴰⵎⴰⵜⴰⵢ,Pan système,نسق عام,angraw amatay,انڭراو اماتاي,General format
ⴰⵏⴳⵔⴰⵡ ⴰⵎⴳⴳⴰⵥ,système immunitaire,جهاز المناعة,angraw amggaẓ,انڭراو امڭڭازّ,The immune system
ⴰⵏⴳⵔⴰⵡ ⴰⵡⵏⴹⴰⵏ,écosystème,نظام بيئي,angraw awnḍan,انڭراو اونضان,Ecosystem
ⴰⵏⴳⵔⴰⵡ ⵏ ⵓⵙⵖⵍ,système de mesure,نظام القياس,angraw n usghl,انڭراو ن وسغل,Measurement system
ⴰⵏⴳⵔⴰⵡ ⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ,échantillonnage,نظام العينات,angraw n tussifin,انڭراو ن توسسيفين,Sampling system
ⴰⵙⵍⵎⴷ ⵏ ⵓⵏⴷⴰⵀ,auto-école,تعليم السياقة,aslmd n undah,اسلمد ن ونداه,Driving education
ⵜⵓⵔⴰⴳⵜ ⵏ ⵓⵏⴷⴰⵀ,permis de conduire,رخصة سياقة,turagt n undah,توراڭت ن ونداه,Driver's license
ⵡⴰⵔ ⴰⵏⴷⴷⴰⴷ,sans matière grasse,خال من الدسم,war anddad,وار اندداد,Fat-free
ⵡⵡⵜ ⴰⵏⴼⴰ,prendre soin de…,تفقَّد، رعى,wwt anfa,ووت انفا,"Inspected, cared for"
ⴰⵏⴼⴳⵓⵔ ⵏ ⵜⵓⵔⴰⴳⵜ,fondé de pouvoir,مفوض بالتوقيع,anfgur n turagt,انفڭور ن توراڭت,Authorized to sign.
ⴰⵏⴼⵍⵓⵙ ⴰⵎⴰⵜⴰⵢ,secrétaire général,أمين عام,anflus amatay,انفلوس اماتاي,Secretary-General
ⴰⵏⴼⵍⵓⵙ ⵏ ⵓⵡⴰⵏⴽ,Secrétaire d'Etat,كاتب الدولة,anflus n uwank,انفلوس ن ووانك,Secretary of State
ⴰⵍⵍⴰⵍ ⴰⵏⴽⵙⵓⵎ,musculature,جهاز عضلي,allal anksum,اللال انكسوم,Muscular system
ⴰⵏⴳⴰⵥ ⴰⵏⴽⵙⵓⵎ,myalgie musculaire,ألم العضل,angaẓ anksum,انڭازّ انكسوم,Muscle pain
ⴰⵡⵃⴰⵍ ⴰⵏⴽⵙⵓⵎ,fatigue musculaire,تعب عضلي,awḥal anksum,اوحال انكسوم,Muscle fatigue
ⴰⵏⵃⴰⴷ ⵏ ⵜⵖⵎⴰⵙ,abrasion dentaire,سحج سنّي,anḥad n tghmas,انحاد ن تغماس,"""I polished my tooth."""
ⵜⴰⵎⵏⴰⴹⵜ ⵏ ⵡⴰⵏⵍⵍⵉ,aire cérébrale,ساحة المُخ,tamnaḍt n wanlli,تامناضت ن وانللي,The brain square
ⵜⵉⴼⵔⴽⵉⵜ ⵏ ⵡⴰⵏⵍⵍⵉ,cortex cérébral,قشرة دماغية,tifrkit n wanlli,تيفركيت ن وانللي,Cerebral cortex
ⴰⵏⵎⴰⵍⴰ ⴰⵎⴰⵜⴰⵢ,ordre public,نظام عام,anmala amatay,انمالا اماتاي,Public system
ⴰⵏⵎⵀⴰⵍ ⴰⵎⴰⵜⴰⵢ,directeur général,مدير عام,anmhal amatay,انمهال اماتاي,General Manager
ⴰⵏⵎⵀⴰⵍ ⵏ ⵜⵎⵙⵓⵍⵜ,directeur de plateau,مدير البلاتو,anmhal n tmsult,انمهال ن تمسولت,The studio manager.
ⴰⵏⵎⵀⴰⵍ ⵏ ⵜⵢⴰⴼⵓⵜ,directeur de production,مدير الإنتاج,anmhal n tyafut,انمهال ن تيافوت,Production Manager
ⴰⵏⵎⵎⴰⵍ ⵏ ⵜⴰⵖⴰⵔⵜ,indice d'aridité,مؤشر الجفاف,anmmal n taghart,انممال ن تاغارت,Drought index
ⴰⵏⵎⵓⵇⵇⴰⵔ ⴰⵏⵖⵎⴰⵙ,point de presse,لقاء صحفي,anmuqqar anghmas,انموققار انغماس,Press interview
ⴰⵏⵏⴰⵍ ⴰⵥⵕⴼⴰⵏ,soutien financier,دعم مالي,annal aẓṛfan,اننال ازّرفان,Financial support
ⴰⵏⵏⴰⵍ ⵏ ⵜⵏⵓⴷⴰⴼ,soutien du revenu,دعم الدخل,annal n tnudaf,اننال ن تنوداف,Income support
ⴰⵏⵖⴰⵍ ⵏ ⵉⵏⵖⵎⵉⵙⵏ,déferlement d'informations,تدفق المعلومات,anghal n inghmisn,انغال ن ينغميسن,The flow of information
ⴰⵏⵖⵎⴰⵙ ⵏ ⵉⵙⵓⴳⴳⴰ,reporter,صحفي ربورتاج,anghmas n isugga,انغماس ن يسوڭڭا,A journalist's report.
ⵉⵏⵖⵎⵉⵙⵏ,Edition (informations),نشرة الأخبار,inghmisn,ينغميسن,The news bulletin
ⴰⵏⵖⵎⵉⵙ ⴰⵔⵎⵉⴷⵉ,"mésinformation, nouvelle erronée",خبر زائف,anghmis armidi,انغميس ارميدي,Fake news
ⴰⵎⵙⵎⵏⵉⴷ ⵏ ⵉⵏⵖⵎⵉⵙⵏ,présentateur de journal,مقدم نشرة,amsmnid n inghmisn,امسمنيد ن ينغميسن,News presenter
ⴰⵏⵖⵎⵉⵙ ⵉⴼⵔⵓⵔⵉⵏ,information détaillée,خبر مفصل,anghmis ifrurin,انغميس يفرورين,A detailed report.
ⴰⵏⵖⵓⴱⵓ ⵓⵛⵛⵉⵍ,Disparition forcée,اختفاء قسري,anghubu ushshil,انغوبو وششيل,Forced disappearance
ⴰⵏⵙⴰ ⴰⵍⵉⴽⵟⵕⵓⵏⵉ,adresse électronique,بريد إلكتروني,ansa alikṭṛuni,انسا اليكطروني,Email
ⴰⵏⵙⴰ ⴰⵙⴰⵡⴰⵢ,adresse postale,عنوان بريدي,ansa asaway,انسا اساواي,My email address
ⴰⵏⵙⵎⴰⵙⵙⵓ ⵏ ⵓⵔⵣⵣⵓ,Moteur de recherche,محرك بحث,ansmassu n urzzu,انسماسسو ن ورززو,Search engine
ⴰⵎⴰⵔⵉ ⵏ ⵓⵏⵙⵙⵉⵅⴼ,vice-président,نائب الرئيس,amari n unssikhf,اماري ن ونسسيخف,The Vice President
ⴰⵎⵎⴰⴽ ⵏ ⵓⵏⵢⴰⵍⴽⴰⵎ,moyen de communication,وسيلة اتصال,ammak n unyalkam,امماك ن ونيالكام,Means of communication
ⴰⴼⵉⵍⵓ ⴰⵏⵣⵍⵓⵎ,cordon nerveux,حبل عصبي,afilu anzlum,افيلو انزلوم,Nerve cord
ⴰⵍⵍⴰⵍ ⴰⵏⵣⵍⵓⵎ,système nerveux,جهاز عصبي,allal anzlum,اللال انزلوم,Nervous system
ⴰⵏⴳⵉ ⴰⵏⵣⵍⵓⵎ,influx nerveux,فيض عصبي,angi anzlum,انڭي انزلوم,Nervous breakdown
ⴰⵔⵡⴰⵢ ⴰⵏⵣⵍⵓⵎ,trouble nerveux,اضطراب عصبي,arway anzlum,ارواي انزلوم,Nervous disorder
ⴰⴷⴷⴰⴷ ⵏ ⵓⵏⵣⵡⵉ,météo,حالة الطقس,addad n unzwi,ادداد ن ونزوي,The weather condition
ⴰⵎⵎⴰⵙ ⵏ ⵓⵙⵏⵉⵎⴰⵍ ⵏ ⵓⵏⵣⵡⵉ,Centre de prévision météorologique,مركز الأرصاد الجوية,ammas n usnimal n unzwi,امماس ن وسنيمال ن ونزوي,Meteorological Center
ⴰⵏⴹⴰⴼ ⵏ ⵓⵏⵣⵡⵉ,"météorologiste, météorologue",راصد جوي,anḍaf n unzwi,انضاف ن ونزوي,Weather observer
ⴰⵙⴰⴹⴰⴼ ⵏ ⵓⵏⵣⵡⵉ,observatoire météorologique,مرصد جوي,asaḍaf n unzwi,اساضاف ن ونزوي,Weather observatory
ⴰⵙⵏⴼⵍ ⵏ ⵓⵏⵣⵡⵉ,changement météorologique,تغيرات جوية,asnfl n unzwi,اسنفل ن ونزوي,Weather changes
ⴰⵙⵏⵉⵎⴰⵍ ⵏ ⵓⵏⵣⵡⵉ,prévision météorologique,توقعات الأرصاد الجوية,asnimal n unzwi,اسنيمال ن ونزوي,Weather forecasts
ⴰⵥⵟⵟⴰ ⵏ ⵜⵉⴹⴰⴼ ⵏ ⵓⵏⵣⵡⵉ,réseau météorologique,شبكة رصد جوية,aẓṭṭa n tiḍaf n unzwi,ازّططا ن تيضاف ن ونزوي,Weather monitoring network
ⵉⵏⵖⵎⵉⵙⵏ ⵏ ⵓⵏⵣⵡⵉ,bulletin météorologique,نشرة جوية,inghmisn n unzwi,ينغميسن ن ونزوي,Weather forecast
ⴰⵙⴰⵏⵏⴰⵢ ⵏ ⵓⵏⵥⴰⵕ,pluvioscope,مبصار المطر,asannay n unẓaṛ,اسانناي ن ونزّار,The rain's spectacle.
ⴰⵙⴳⴳⵯⴰⵙ ⴱⵓ ⵉⵏⵓⵥⴰⵕ,année à  pluviométrie élevée,عام ممطار,asggⵯas bu inuẓaṛ,اسڭڭⵯاس بو ينوزّار,A rainy year
ⵜⴰⵎⵙⵖⴰⵍⵜ ⵏ ⵓⵏⵥⴰⵕ,pluviomètre,مقياس المطر,tamsghalt n unẓaṛ,تامسغالت ن ونزّار,Rain gauge
ⵜⵉⵔⵙⵉ ⵏ ⵓⵏⵥⴰⵕ,averse,زخة مطرية,tirsi n unẓaṛ,تيرسي ن ونزّار,A rain shower
ⴰⵔⴰⵜⴰⵢ ⴰⵎⵉⴳⵏⵓ,perturbation orageuse,اضطراب رعدي,aratay amignu,اراتاي اميڭنو,Thunderstorm disturbance
ⴰⵔⴰⵢ ⵓⵖⵔⵉⵎ,protection civile,الوقاية المدنية,aray ughrim,اراي وغريم,Civil protection
ⴰⵔⴰⵢ ⵣⴳ ⵉⵥⵏⵥⴰⵕⵏ,radioprotection,الوقاية من الإشعاع النووي,aray zg iẓnẓaṛn,اراي زڭ يزّنزّارن,Protection from nuclear radiation
ⴰⵔⴱⴰ ⵓⵣⵔⵉⴼ,enfant légitime,طفل شرعي,arba uzrif,اربا وزريف,Translation Error
ⴰⵏⵓⵎⴰⵢ ⵏ ⵉⵔⴳⴰⵢⵏ,Assiette fiscale,الوعاء الضريبي,anumay n irgayn,انوماي ن يرڭاين,The tax base
ⴰⵔⴳⴰⵢ ⴰⵔⵓⵙⵔⵉⴷ,impôt indirect,ضريبة غير مباشرة,argay arusrid,ارڭاي اروسريد,Indirect tax
ⴰⵔⴳⴰⵢ ⵓⵙⵔⵉⴷ,impôt direct,ضريبة مباشرة,argay usrid,ارڭاي وسريد,Direct tax
ⵙⵙⵉⴼⵙⵓⵙ ⴰⵔⴳⴰⵢ,dégrever,خصَم، خفض,ssifsus argay,سسيفسوس ارڭاي,"Discount, reduction"
ⴰⵔⵎⴰⵜⵏ ⵏ ⵓⵎⵡⴰⵏ,équinoxe d'automne,اعتدال خريفي,armatn n umwan,ارماتن ن وموان,Autumnal Equinox
ⴰⵔⵎⴰⵜⵏ ⵏ ⵜⴼⵙⵓⵜ,équinoxe de printemps,اعتدال ربيعي,armatn n tfsut,ارماتن ن تفسوت,Spring equinox
ⴰⵔⵔⴰ ⴰⵎⴳⵔⵓ,ouvrage collectif,مؤلف جماعي,arra amgru,اررا امڭرو,Collective author
ⴰⵙⵡⵓⴷⴷⵓ ⵏ ⵡⴰⵔⵔⴰⵙ,gestion des déchets,تدبير النفايات,aswuddu n warras,اسووددو ن وارراس,Waste management
ⴰⵔⵔⴰⵣ ⵏ ⵓⵔⵖⴰⵎ,indemnité de licenciement,تعويض عن الفصل,arraz n urgham,ارراز ن ورغام,Compensation for dismissal.
ⴰⵔⵔⴰⵣ ⵏ ⵓⵙⵓⴼⵖ,indemnité d'éviction,تعويض رفع الحيازة,arraz n usufgh,ارراز ن وسوفغ,"""Compensation for raising possession"""
ⴰⵔⵔⴰⵣ ⵏ ⵓⵙⵓⵔⴷⵓ,bénéfice du doute,فائدة الشك,arraz n usurdu,ارراز ن وسوردو,The benefit of doubt
ⴰⵔⵔⴰⵣ ⵏ ⵜⴰⵔⵡⵓⵔⵉ,indemnité de chômage,تعويض البطالة، تعويض العطالة,arraz n tarwuri,ارراز ن تارووري,"Unemployment compensation, joblessness compensation."
ⵉⴷⵉⵙ ⵏ ⵓⵔⵖⵏ,endomètre,بطانة الرحم,idis n urghn,يديس ن ورغن,Endometrium
ⴰⵔⵣⵣⵓ ⴰⵎⴰⵙⵙⴰⵏ,recherche scientifique,بحث علمي,arzzu amassan,ارززو اماسسان,Scientific research
ⴰⵕⵟⵟⴰⵍ ⵉⴷⵔⵓⵙⵏ,microcrédit,قروض صغرى,aṛṭṭal idrusn,ارططال يدروسن,Microloans
ⴰⵖ ⴽⵔⴰ/ⵛⴰ,tomber malade,مرِض,agh kra/sha,اغ كرا/شا,He got sick.
ⵉⵜⵜⵡⴰⵖ,être atteint,مصاب,ittwagh,يتتواغ,Injured
ⴰⵔⵔⴰ ⵏ ⵓⵖⴰⴼⵉⵔ,bail,عقد الإيجار,arra n ughafir,اررا ن وغافير,The lease contract
ⴰⵖⴰⵡⴰⵙ ⵏ ⵜⵡⵓⵔⵉ,"ordre du jour, agenda",جدول الأعمال,aghawas n twuri,اغاواس ن تووري,Agenda
ⴰⵖⵉ ⴰⵙⵎⵎⴰⵎ,petit lait,لبن,aghi asmmam,اغي اسممام,Milk
ⴰⵖⵉ ⴰⵛⴼⴼⴰⵢ,lait frais,حليب,aghi ashffay,اغي اشففاي,Milk
ⴰⵖⵎⵉⵙ ⴰⵎⴰⴷⴷⵓⴷ,bulletin officiel,جريدة رسمية,aghmis amaddud,اغميس اماددود,Official newspaper
ⴰⵖⵎⵎⵓⵙ ⴰⴷⵓⵙⴰⵏ,couverture médicale,تغطية صحية,aghmmus adusan,اغمموس ادوسان,Health coverage
ⴰⵖⵓⵔⵉ ⴰⵏⴱⴹⴰⵢ,assignation,استدعاء قضائي,aghuri anbḍay,اغوري انبضاي,Judicial summons
ⴰⵖⵔⵉ ⴰⴼⵙⵙⴰⵙ,"voyelle neutre, schwa",حركة مختلسة,aghri afssas,اغري افسساس,A furtive movement.
ⴰⵎⴰⴳⵔ ⵏ ⵉⵖⵔⵉⵜⵏ,hiatus,تتابع صائتي,amagr n ighritn,اماڭر ن يغريتن,"It seems there might be a typo in the Arabic sentence, as ""صائتي"" is not a standard word in Arabic. Could you please clarify or provide more context so I can assist you better?"
ⴰⵎ ⵓⵖⵔⵎⴰⵏ,semi-urbain,شبه حضري,am ughrman,ام وغرمان,Semi-urban
ⵣⵓⵏ ⴷ ⴰⵖⵔⵎⴰⵏ,semi-urbain,شبه حضري,zun d aghrman,زون د اغرمان,"""Suburban"" or ""Semi-urban"""
ⴰⵖⵖⵓ ⵉⵏⴷⴰⵏ,petit lait,لبن,aghghu indan,اغغو يندان,Milk
ⴰⵖⵖⵓ ⵉⵛⴼⵉⵏ,lait frais,حليب طري,aghghu ishfin,اغغو يشفين,Fresh milk
ⵓⴼⵔⵉⵖ ⵏ ⵓⵖⵥⵥⴰⵥ,qui a la mâchoire tordue,معوج الفك,ufrigh n ughẓẓaẓ,وفريغ ن وغزّزّازّ,"""Crooked jaw"""
ⵢⵓⵙⴰⵏ (ⴷ-),Approprié,ملائم ، مناسب,yusan (d-),يوسان (د-),"Suitable, appropriate"
ⵢⵓⵙⴰⵏ ⵣⴷⴰⵜ,Antéposé,مقدَّم,yusan zdat,يوسان زدات,"""Presented"" or ""Introduced"" (depending on the context)."
ⴰⴷⵖⴰⵔ ⵏ ⵓⵙⴰⴳⴳⵯ,zone de couverture,منطقة التغطية,adghar n usaggⵯ,ادغار ن وساڭڭⵯ,Coverage area
ⴰⵙⴰⴳⴳⵯ ⵏ ⵉⵎⵊⵕⵉⵜⵏ,couverture médiatique (néo.),تغطية صحفية,asaggⵯ n imjṛitn,اساڭڭⵯ ن يمجريتن,Press coverage
ⴰⵙⴰⴳⵎ ⴰⵥⵕⴼⴰⵏ,ressource financière,مورد مالي,asagm aẓṛfan,اساڭم ازّرفان,Financial resource
ⴰⵙⴰⴳⵎ ⵉⵏⵖⵎⵙⵏ,source bien informée,مصدر مطلع,asagm inghmsn,اساڭم ينغمسن,An informed source
ⵉⵙⵓⴳⴰⵎ ⵉⴱⵉⴱⵍⵓⴳⵔⴰⴼⵉⵢⵏ,références bibliographiques,مراجع بيبليوغرافية,isugam ibiblugrafiyn,يسوڭام يبيبلوڭرافيين,Bibliographic references
ⴰⵙⴰⴷⴼ ⴰⴳⴷⵓⴷⴰⵏ,accès public,مدخل عمومي,asadf agdudan,اسادف اڭدودان,Main entrance
ⴰⵙⴰⴷⴼ ⴰⴷⵙⵍⴰⵏ,entrée principale,مدخل رئيسي,asadf adslan,اسادف ادسلان,Main entrance
ⴰⵙⴰⴷⴼ ⵓⵙⵍⵉⴳ,accès privé,مدخل خاص,asadf uslig,اسادف وسليڭ,Private entrance
ⴰⵙⴰⴹⴰⴼ ⴰⵏⴰⵎⵓⵔ,observatoire national,مرصد وطني,asaḍaf anamur,اساضاف انامور,National observatory
ⴰⵙⴰⴼⴰⵔ ⴰⵣⴳⴳⵯⴰⵖ,mercurochrome,مركروكروم (مادة مطهرة للجروح),asafar azggⵯagh,اسافار ازڭڭⵯاغ,Mercurochrome (an antiseptic for wounds)
ⵉⵙⵓⴼⴰⵔ ⵏ ⵓⵙⵏⵡⵉ,épices,توابل,isufar n usnwi,يسوفار ن وسنوي,Spices
ⴰⵙⴰⴽⴰ ⵏ ⵉⵎⵉⴽⵉⵍⵏ,passage pour piétons,ممر الراجلين,asaka n imikiln,اساكا ن يميكيلن,Pedestrian crossing
ⴰⵙⴰⴽⴰ ⵏ ⵜⵖⵓⵔⵉ,filière des études,مسلك الدراسة,asaka n tghuri,اساكا ن تغوري,Study pathway
ⴰⵙⴰⵏⵓⴹ ⵏ ⵉⴼⴼⵓⵙ,pôle sud,القطب الجنوبي,asanuḍ n iffus,اسانوض ن يففوس,The South Pole
ⴰⵙⴰⵏⵓⴹ ⵏ ⵉⵥⵥⵍⵎⴹ,pôle nord,القطب الشمالي,asanuḍ n iẓẓlmḍ,اسانوض ن يزّزّلمض,The North Pole
ⴰⵙⴰⵔⴰⴳ ⵏ ⵓⵙⴼⵙⵔ,hall d’expositions,بهو العرض,asarag n usfsr,اساراڭ ن وسفسر,The exhibition hall.
ⴰⵙⴰⵔⵎ ⵏ ⵓⵙⴼⵙⵉ,laboratoire,مختبر التحليلات,asarm n usfsi,اسارم ن وسفسي,Analysis laboratory
ⴰⵙⴰⵔⵓ ⵏ ⵓⵙⵓⵏⴼⵙ,voie respiratoire,مسلك تنفسي,asaru n usunfs,اسارو ن وسونفس,Respiratory tract
ⴰⴱⵓⵅⵎⵓ ⵏ ⵉⵙⵓⵔⴰ ⵏ ⵓⵙⵓⵏⴼⵙ,infection des voies respiratoires,تعفن المسالك التنفسية,abukhmu n isura n usunfs,ابوخمو ن يسورا ن وسونفس,Respiratory tract decay
ⴰⵙⴰⵔⵓ ⴰⵎⵓⵟⵟⵓⵏ,chaîne numérique,قناة رقمية,asaru amuṭṭun,اسارو اموططون,Digital channel
ⴰⵙⴰⵔⵓ ⴰⵙⴳⵓⵎⴰⵏ,chaîne thématique,قناة موضوعاتية,asaru asguman,اسارو اسڭومان,Thematic channel
ⴰⵙⴰⵔⵓ ⵓⵏⵜⵉⵍ,chaîne cryptée,قناة مرموزة,asaru until,اسارو ونتيل,An encrypted channel
ⴰⵙⴰⵙⴼⵔ ⴰⴽⵉⵎⵉ,chimiothérapie,علاج كيماوي,asasfr akimi,اساسفر اكيمي,Chemotherapy
ⴰⵙⴰⵙⴼⵔ ⵙ ⵓⵥⵏⵥⵕ,radiothérapie,معالجة بالأشعة,asasfr s uẓnẓṛ,اساسفر س وزّنزّر,Radiation therapy
ⴰⵙⴰⵙⵜⵍ ⵏ ⵓⴼⴳⴰⵏ,pèse-personne,ميزان,asastl n ufgan,اساستل ن وفڭان,Scale
ⴰⵙⴰⵜⵉ ⵓⵍⴳⵉⵏ,cadre légal,إطار قانوني,asati ulgin,اساتي ولڭين,Legal framework
ⴰⵙⴰⵜⵍ ⴰⵎⴹⴰⵕⵓ,atmosphère,غلاف جوي,asatl amḍaṛu,اساتل امضارو,Atmosphere
ⴰⵙⴰⵜⵍ ⵏ ⵡⴰⴽⴰⵍ,géosphère,غلاف أرضي,asatl n wakal,اساتل ن واكال,Ground cover or Earth's crust (depending on the context).
ⴰⵙⴰⵜⵍ ⵏ ⵡⴰⵎⴰⵏ,hydrosphère,غلاف مائي,asatl n waman,اساتل ن وامان,Water cover
ⴰⵙⴰⵢⵔⴰⵔ ⵏ ⵓⵙⵓⵙⵙⵏ,espace publicitaire,فضاء إشهاري,asayrar n usussn,اسايرار ن وسوسسن,Advertising space
ⴰⵙⴰⵢⵙ ⵉⵥⵍⵉⵏ,émission spéciale,برنامج خاص,asays iẓlin,اسايس يزّلين,A special program
ⴰⵙⴰⵢⵙ ⵏ ⵓⵎⵙⴳⴷⴰⵍ,émission de débat,برنامج حواري,asays n umsgdal,اسايس ن ومسڭدال,Talk show program
ⴰⵙⴱⴰⵢⵏⵓ ⴰⵎⴰⵜⴰⵢ,trésorerie générale,الخزينة العامة,asbaynu amatay,اسباينو اماتاي,The public treasury
ⴰⵙⴱⴷⴷ ⵙ ⵜⵉⴹⴰⴼ,parking surveillé,موقف محروس,asbdd s tiḍaf,اسبدد س تيضاف,"""Mahrous's stance"" or ""Mahrous's position"""
